City of Portsmouth,,
Fiscal Year 2012 Adopted Budget,,
Non-Departmental,,
Business Center Index,,
Business Center Summary,2,
Non-departmental,3,
Transfers and Contingencies,4,
Public Transportation,5,
Debt Service,6,
Support to Civic Organizations,7,
Other Post Employment Benefits,8,
Fiscal Year 2012,1,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
,DS-Bond Principal,"7,254,824","7,548,713",-,"7,561,233","10,604,112"
,DS-VPSA Principal,"398,723","567,225",-,"576,149","985,540"
DS-BHS Bldg Principal,,-,-,-,-,"145,000"
DS-Lease Purchase Principal,,"364,550","374,557",-,"476,813",-
DS-Literary Loan Principal,,"375,000","375,000",-,"375,000","250,000"
DS-Note Payable Principal,,-,"1,684,682",-,-,-
,DS-QZAB Principal,"601,971","601,971",-,"716,972","52,897"
DS-Human Svcs Bldg Principal,,"506,374","550,809",-,"599,140","651,713"
,DS-Bond Interest,"8,418,205","9,353,498",-,"11,444,529","10,955,007"
,DS-VPSA Interest,"357,527","337,525",-,"317,102","296,211"
DS-BHS Bldg Interest,,"180,954","181,292",-,"181,293","178,392"
DS-Lease Purchase Interest,,"25,466","15,459",-,"5,839",-
DS-Literary Loan Interest,,"52,500","45,000",-,"37,500","30,000"
DS-Note Payable Interest,,"1,137,530",-,-,"711,100","711,100"
DS-Human Svcs Bldg Interest,,"1,013,381","1,002,952",-,"982,709","907,895"
,DS-Cost of Issuance,"610,933","25,000",-,"250,000","250,000"
,Fiscal Charges,"10,258","7,500",-,"7,500","7,500"
,Total Budget,"21,308,196","22,671,183",-,"24,242,879","26,025,367"
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
,100 General Fund,"21,308,196","22,671,183",-,"24,242,879","26,025,367"
,Total Funding,"21,308,196","22,671,183",-,"24,242,879","26,025,367"
,Fiscal Year 2012,6,,,,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,
,Other Post Employment Benefits,Other Post Employment Benefits,Other Post Employment Benefits,,,
Description of Services Provided,,,,,,
City Council authorized a separate OPEB fund to account for contributions toward satisfying the City’s OPEB annual required,City Council authorized a separate OPEB fund to account for contributions toward satisfying the City’s OPEB annual required,City Council authorized a separate OPEB fund to account for contributions toward satisfying the City’s OPEB annual required,City Council authorized a separate OPEB fund to account for contributions toward satisfying the City’s OPEB annual required,City Council authorized a separate OPEB fund to account for contributions toward satisfying the City’s OPEB annual required,City Council authorized a separate OPEB fund to account for contributions toward satisfying the City’s OPEB annual required,
"contribution (ARC). Although the City does not currently fund the entire ARC, the normal costs portion of the ARC is fully","contribution (ARC). Although the City does not currently fund the entire ARC, the normal costs portion of the ARC is fully","contribution (ARC). Although the City does not currently fund the entire ARC, the normal costs portion of the ARC is fully","contribution (ARC). Although the City does not currently fund the entire ARC, the normal costs portion of the ARC is fully","contribution (ARC). Although the City does not currently fund the entire ARC, the normal costs portion of the ARC is fully","contribution (ARC). Although the City does not currently fund the entire ARC, the normal costs portion of the ARC is fully",
"funded. Additionally, $2.5 Million is budgeted for the unfunded actuarial accrued liability (UAAL).","funded. Additionally, $2.5 Million is budgeted for the unfunded actuarial accrued liability (UAAL).","funded. Additionally, $2.5 Million is budgeted for the unfunded actuarial accrued liability (UAAL).","funded. Additionally, $2.5 Million is budgeted for the unfunded actuarial accrued liability (UAAL).",,,
"In accordance with Government Accounting Standards Board (GASB) reporting requirements, postemployment benefits such","In accordance with Government Accounting Standards Board (GASB) reporting requirements, postemployment benefits such","In accordance with Government Accounting Standards Board (GASB) reporting requirements, postemployment benefits such","In accordance with Government Accounting Standards Board (GASB) reporting requirements, postemployment benefits such","In accordance with Government Accounting Standards Board (GASB) reporting requirements, postemployment benefits such","In accordance with Government Accounting Standards Board (GASB) reporting requirements, postemployment benefits such",
"as health insurance, life insurance, and other pension-related benefits obligations must be included as a liability reported in","as health insurance, life insurance, and other pension-related benefits obligations must be included as a liability reported in","as health insurance, life insurance, and other pension-related benefits obligations must be included as a liability reported in","as health insurance, life insurance, and other pension-related benefits obligations must be included as a liability reported in","as health insurance, life insurance, and other pension-related benefits obligations must be included as a liability reported in","as health insurance, life insurance, and other pension-related benefits obligations must be included as a liability reported in",
"the Comprehensive Annual Financial Report (CAFR). Although GASB does not require funding the ARC, the biennial UAAL","the Comprehensive Annual Financial Report (CAFR). Although GASB does not require funding the ARC, the biennial UAAL","the Comprehensive Annual Financial Report (CAFR). Although GASB does not require funding the ARC, the biennial UAAL","the Comprehensive Annual Financial Report (CAFR). Although GASB does not require funding the ARC, the biennial UAAL","the Comprehensive Annual Financial Report (CAFR). Although GASB does not require funding the ARC, the biennial UAAL","the Comprehensive Annual Financial Report (CAFR). Although GASB does not require funding the ARC, the biennial UAAL",
calculation is based on the degree of funding as well as whether or not the City has an established OPEB Trust Fund. GASB,calculation is based on the degree of funding as well as whether or not the City has an established OPEB Trust Fund. GASB,calculation is based on the degree of funding as well as whether or not the City has an established OPEB Trust Fund. GASB,calculation is based on the degree of funding as well as whether or not the City has an established OPEB Trust Fund. GASB,calculation is based on the degree of funding as well as whether or not the City has an established OPEB Trust Fund. GASB,calculation is based on the degree of funding as well as whether or not the City has an established OPEB Trust Fund. GASB,
"does, however, require the disclosure of information about the funded status of the plan, including the UAAL, in the notes to the","does, however, require the disclosure of information about the funded status of the plan, including the UAAL, in the notes to the","does, however, require the disclosure of information about the funded status of the plan, including the UAAL, in the notes to the","does, however, require the disclosure of information about the funded status of the plan, including the UAAL, in the notes to the","does, however, require the disclosure of information about the funded status of the plan, including the UAAL, in the notes to the","does, however, require the disclosure of information about the funded status of the plan, including the UAAL, in the notes to the",
financial statements and the presentation of multi-year funding progress trend information as a required supplementary,financial statements and the presentation of multi-year funding progress trend information as a required supplementary,financial statements and the presentation of multi-year funding progress trend information as a required supplementary,financial statements and the presentation of multi-year funding progress trend information as a required supplementary,financial statements and the presentation of multi-year funding progress trend information as a required supplementary,financial statements and the presentation of multi-year funding progress trend information as a required supplementary,
,schedule.,,,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
Contingency-Other Operating,,-,"2,500,000",-,"2,500,000","2,500,000"
,Net Budget,-,"2,500,000",-,"2,500,000","2,500,000"
,Total Budget,-,"2,500,000",-,"2,500,000","2,500,000"
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
620 Other Post-Employment Benefits,,-,"2,500,000",-,"2,500,000","2,500,000"
,Total Funding,-,"2,500,000",-,"2,500,000","2,500,000"
,Fiscal Year 2012,8,,,,Non-Departmental
