Miscellaneous Statistical
Information
This page intentionally left blank
P RIORITIES,,,,,
The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as
reported by the departments.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,Going,Going
forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct
priority.,,,,,
,&z ϮϬϭϯ,ůů &ƵŶĚƐ,,,
,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ƌĞĂ,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕,,,,
,DŽďŝůŝƚLJ ĂŶĚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,,
,ŽŶŶĞĐƚŝǀŝƚLJ͕ Ϯ͘ρй,ĂŶĚ tŽƌŬĨŽƌĐĞ,ĂŶĚ tŽƌŬĨŽƌĐĞ,,
,,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,,
,,,ŶǀŝƌŽŶŵĞŶƚĂů,,
,,,^ƵƐƚĂŝŶĂďŝůŝƚLJ͕ ϭ͘εй,,
,tĞůůͲDĂŶĂŐĞĚ,,,,
,'ŽǀĞƌŶŵĞŶƚ͕ Ϯϳй,,,,
,,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ͕,,,
,,ϯϮ͘Θй,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ",,,,
,/ŶĐůƵƐŝǀĞ,,,,
,ŽŵŵƵŶŝƚŝĞƐ͕ ϯϮ͘Ϭй,,,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕ DŽďŝůŝƚLJ ĂŶĚ ŽŶŶĞĐƚŝǀŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,,
,ŶǀŝƌŽŶŵĞŶƚĂů ^ƵƐƚĂŝŶĂďŝůŝƚLJ,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ /ŶĐůƵƐŝǀĞ ŽŵŵƵŶŝƚŝĞƐ",tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,,
,,,,Priorities,485
The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,They are separated into six
W.5,Records Management,City Clerk,"234,816","234,816"
W.6,City Council,City Council,"368,151","368,151"
W.7,City Manager's Office,City Manager,"2,052,514","2,052,514"
W.8,City Real Estate Assessor,City Real Estate Assessor,"2,037,587","2,037,587"
,Real Estate Assessment Board Of,,,
W.9,,City Real Estate Assessor,"3,150","3,150"
,Appeals,,,
W.10,City Treasurer,City Treasurer,"2,406,279","2,406,279"
W.11,Clerk of Circuit Court,Clerk of the Circuit Court,"2,997,224","2,997,224"
W.12,Administration,Commissioner of the Revenue,"810,736","810,736"
W.13,Audit,Commissioner of the Revenue,"409,913","409,913"
W.14,Business Tax,Commissioner of the Revenue,"475,815","475,815"
W.15,Personal Property Tax,Commissioner of the Revenue,"607,408","607,408"
W.16,Tax Compliance,Commissioner of the Revenue,"278,303","278,303"
W.17,Taxpayer Assistance,Commissioner of the Revenue,"353,970","353,970"
W.18,Technology Systems,Commissioner of the Revenue,"190,255","190,255"
W.19,Commonwealth's Attorney,Commonwealth's Attorney,"5,444,702","5,444,702"
,,Communications and Public,,
W.20,Communications & Public Relations,,"126,360","126,360"
,,Information,,
,,,Priorities,501
Well-Managed Government,Well-Managed Government,,
Activity Name,Activity Name,Department,FY 2013 Approved
,,Communications and Public,
W.21,Intergovernmental Relations,,"341,289"
,,Information,
,,"Cultural Facilities, Arts &",
W.22,Administration,,"117,461"
,,Entertainment,
,,"Cultural Facilities, Arts &",
W.23,Archives & Research,,155
,,Entertainment,
,,"Cultural Facilities, Arts &",
W.24,Finance & Box Office,,"348,250"
,,Entertainment,
W.25,Fiscal Agent's Commission,Debt Service,"450,000"
W.26,Interest on Bonds,Debt Service,"1,052,604"
W.27,Serial Bond Maturities,Debt Service,"75,986,127"
W.28,Transfer to CIP,Debt Service,"609,666"
W.29,Advisory Services,Departmental Support,"400,000"
W.30,Claim Payments and Insurance,Departmental Support,"2,510,000"
W.31,Employee Compensation Increases,Departmental Support,"3,623,000"
W.32,Employee Recognition Incentive,Departmental Support,"75,000"
W.33,Line of Duty Act,Departmental Support,"416,850"
W.34,Operating Contingency,Departmental Support,"1,950,000"
W.35,Retiree Benefit Reserve,Departmental Support,"75,000"
W.36,Retirement Hospitalization,Departmental Support,"221,820"
W.37,State Payment,Departmental Support,"424,268"
W.38,Transition Assistance,Departmental Support,"920,569"
W.39,Storehouse Indirect Cost,Departmental Support,"182,000"
W.40,Unemployment Compensation,Departmental Support,"220,000"
,Waste Management Vehicle,,
W.41,,Departmental Support,"250,000"
,Replacement,,
,Employer Sponsored Public,,
W.42,,Departmental Support,"135,000"
,Transportation Passes,,
502,Priorities,,
Well-Managed Government,Well-Managed Government,,,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
W.43,Administration,Development,"1,018,202","1,018,202"
W.44,Elections,Elections,"873,086","873,086"
W.45,Accounting Operations,Finance,"120,148","120,148"
W.46,Cash & Investment Management,Finance,"74,560","74,560"
W.47,Collections,Finance,"305,230","305,230"
W.48,Finance Directors Office,Finance,"854,645","854,645"
W.49,Financial Accounting & Reporting,Finance,"790,716","790,716"
W.50,Independent Auditors,Finance,"224,600","224,600"
W.51,Payroll,Finance,"178,570","178,570"
W.52,Retirement Bureau,Finance,"449,143","449,143"
W.53,Fire Administration,Fire-Rescue,"2,954,646","2,954,646"
W.54,Fueling,Fleet Management,"5,646,850","5,646,850"
W.55,Motor Pool,Fleet Management,"79,109","79,109"
W.56,New Vehicle Preparation,Fleet Management,"80,000","80,000"
W.57,Custodial Services,General Services,"1,784,683","1,784,683"
W.58,Director's Office,General Services,"646,094","646,094"
W.59,Mail/Reprographic Services,General Services,"737,269","737,269"
W.60,Public Utility Cost Management,General Services,"6,199,441","6,199,441"
W.61,Purchasing Agent,General Services,"393,688","393,688"
W.62,Employee Relations,Human Resources,"3,050","3,050"
W.63,HR Admin/Hris,Human Resources,"2,088,548","2,088,548"
W.64,Organizational Development,Human Resources,"67,799","67,799"
,,,Priorities,503
Well-Managed Government,Well-Managed Government,,
Activity Name,Activity Name,Department,FY 2013 Approved
W.65,Recruitment and Employment,Human Resources,"262,668"
W.66,Total Compensation,Human Resources,"203,716"
W.67,Wellness Program,Human Resources,"387,005"
W.68,Administrative Support,Human Services,"7,058,854"
W.69,Executive Leadership Develop.,Human Services,"251,246"
W.70,Tax Relief,Human Services,"100,000"
W.71,Administration,Information Technology,"2,009,633"
,Applications Development &,,
W.72,,Information Technology,"2,867,057"
,Management,,
W.73,PeopleSoft,Information Technology,"339,500"
W.74,Administration,Libraries,"820,961"
,Collection Development & Materials,,
W.75,,Libraries,"1,161,539"
,Processing,,
,,Office of Budget & Grants,
W.76,Budget and Management,,"1,160,536"
,,Management,
,,Office of Budget & Grants,
W.77,Grants Management,,"407,558"
,,Management,
W.78,Waterside Operations,Outside Agencies,"1,265,000"
W.79,Admin / Finance,Parking Facilities Fund,"4,181,357"
W.80,Parking Debt Administration,Parking Facilities Fund,"10,131,125"
W.81,Parking Operations,Parking Facilities Fund,"4,042,805"
,,Planning and Community,
W.82,Codes Administrative Services,,"206,608"
,,Development,
,,Planning and Community,
W.83,Gem Program,,"235,000"
,,Development,
,"Management, Administration and",Planning and Community,
W.84,,,"272,710"
,Operations,Development,
,,Planning and Community,
W.85,Planning,,"1,297,704"
,,Development,
W.86,Administrative Support,Police,"1,827,839"
504,Priorities,,
Well-Managed Government,Well-Managed Government,,,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
W.87,Assistant Chief ASB,Police,"97,779","97,779"
W.88,Assistant Chief FOB,Police,"1,735","1,735"
W.89,Assistant Chief ISB,Police,"2,013","2,013"
W.90,Central Records,Police,"69,162","69,162"
W.91,Leadership,Police,"1,686,164","1,686,164"
W.92,Office of Fiscal Management,Police,"3,450","3,450"
W.93,Office of Professional Standards,Police,"6,367","6,367"
W.94,Personnel,Police,"7,652","7,652"
W.95,Strategic Management,Police,463,463
W.96,City-State Cooperative Budget,Public Health,"3,252,079","3,252,079"
W.97,Director's Office-Leadership,Public Works,"1,039,729","1,039,729"
W.98,Project Management,Public Works,"25,719","25,719"
,Directors Office-Recreation/Parks &,,,
W.99,,"Recreation, Parks and Open Space","1,423,581","1,423,581"
,Open Space,,,
W.100,Recreation Management,"Recreation, Parks and Open Space","508,987","508,987"
W.101,Administration,Sheriff and Jail,"649,947","649,947"
W.102,Finance,Sheriff and Jail,"309,234","309,234"
W.103,Human Resources,Sheriff and Jail,"252,443","252,443"
W.104,Internal Service Fund-Storehouse,Storehouse,"576,800","576,800"
W.105,CIP Debt Service,Storm Water Management,"2,559,702","2,559,702"
W.106,Tax Incentive,Tax Increment Financing,"920,386","920,386"
W.107,Fund Balance,Tax Increment Financing,"1,834,463","1,834,463"
W.108,Operation Admin. & Support,The National Maritime Center,"2,080,448","2,080,448"
,,,Priorities,505
Well-Managed Government,Well-Managed Government,,
Activity Name,Activity Name,Department,FY 2013 Approved
W.109,Wastewater Division,Wastewater,"12,576,060"
W.110,Wastewater Fund Debt Service,Wastewater,"14,478,600"
W.111,Division of Accounting & Budgeting,Water,"853,625"
W.112,Utilities Director Office,Water,"11,204,841"
W.113,Water Fund Debt Service,Water,"33,645,200"
,,Total:,"$272,350,554"
506,Priorities,,
M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,M ISCELLANEOUS STATISTICAL I NFORMATION,,,,,
FORM OF GOVERNMENT,FORM OF GOVERNMENT,FORM OF GOVERNMENT,FORM OF GOVERNMENT,FORM OF GOVERNMENT,,,,,,,,,,,,
"Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service city with sole local government taxing power within its boundaries.",It
"derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of","derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly of"
"Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.","Virginia in 1918, which authorizes a Council-Manager form of government.",The members are elected to office,The members are elected to office,The members are elected to office,The members are elected to office,The members are elected to office,The members are elected to office,The members are elected to office
"under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","under a ward-based system, with two members elected from citywide super wards.","Beginning July 1, 2006, as a","Beginning July 1, 2006, as a","Beginning July 1, 2006, as a","Beginning July 1, 2006, as a","Beginning July 1, 2006, as a","Beginning July 1, 2006, as a"
"result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at","result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first mayor elected at"
large.,"Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.","Prior to that time, the mayor was appointed by the City Council.",Among the city officials currently,Among the city officials currently,Among the city officials currently,Among the city officials currently,Among the city officials currently,Among the city officials currently,Among the city officials currently
"appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal","appointed by the City Council are the City Manager, who serves as the administrative head of the municipal"
government.,government.,"The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the","The City Manager carries out the city’s policies, directs business procedures and appoints, with the"
power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically,power to remove the heads of departments and other employees of the city except those otherwise specifically
"covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the","covered by statutory provisions. The City Council also appoints certain boards, commissions and authorities of the"
city.,,,,,,,,,,,,,,,,
The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health,The city provides a full range of services including: police protection; fire and paramedical services; public health
and,social,services;,planning,and,zoning,management;,neighborhood,neighborhood,neighborhood,preservation,preservation,and,code,enforcement;,enforcement;,enforcement;
environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city,environmental storm water management; local street maintenance; traffic control; design and construction of city
buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;,buildings and infrastructure; parks and cemeteries operations and maintenance; recreation and library services;
solid,waste,disposal,and,recycling;,general,administrative,administrative,services;,services;,water,and,wastewater,wastewater,utilities;,utilities;,and
construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for,construction and operation of parking facilities. The city budget allocates State and Federal pass through funds for
"education, public health, and other programs.","education, public health, and other programs.","education, public health, and other programs.","education, public health, and other programs.","education, public health, and other programs.","education, public health, and other programs.",The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school,The city is financially accountable for a legally separate school
district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,district and the Norfolk Community Services Board (City Council appoints the board members).,,,
G EOGRAPHY,G EOGRAPHY,G EOGRAPHY,,,,,,,,,,,,,,
