,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Community and Economic Development,Community and Economic Development,
,Business Center Index,
Organizational Chart,,12 - 2
Business Center Summary,Business Center Summary,12 - 3
Permits and Inspections,Permits and Inspections,12 - 4
Economic Development,Economic Development,12 - 5
Planning,,12 - 6
Willett Hall,,12 - 7
Community Planning and Development Program,Community Planning and Development Program,12 - 8
New Port Community Development Authority,New Port Community Development Authority,12 - 9
Fiscal Year 2014,12 - 1,Community and Economic Development
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Community and Economic Development,Community and Economic Development,
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,49,
,Permits and Inspections,
,Positions =,29
,Economic Development,
,Positions =,6
,Planning,
,Positions =,12
,Willett Hall,
,Positions =,2
Fiscal Year 2014,12 - 2,Community and Economic Development
City of Portsmouth,City of Portsmouth,,,,
* Completed rehab of 4 owner occupied units through the Home Care Housing Rehab program for the elderly and,* Completed rehab of 4 owner occupied units through the Home Care Housing Rehab program for the elderly and,* Completed rehab of 4 owner occupied units through the Home Care Housing Rehab program for the elderly and,* Completed rehab of 4 owner occupied units through the Home Care Housing Rehab program for the elderly and,,
"disabled with an expenditure of about $170,600 of HOME funds. An additional 4 units are being rehabbed.","disabled with an expenditure of about $170,600 of HOME funds. An additional 4 units are being rehabbed.","disabled with an expenditure of about $170,600 of HOME funds. An additional 4 units are being rehabbed.","disabled with an expenditure of about $170,600 of HOME funds. An additional 4 units are being rehabbed.",,
"* Assisted 19 low income households with becoming home owners with about $202,200 of HOME funds used for","* Assisted 19 low income households with becoming home owners with about $202,200 of HOME funds used for","* Assisted 19 low income households with becoming home owners with about $202,200 of HOME funds used for","* Assisted 19 low income households with becoming home owners with about $202,200 of HOME funds used for",,
down payment and closing assistance.,,,,,
"* Provided rental assistance, security deposits, and utility payments to 79 low-income households Citywide","* Provided rental assistance, security deposits, and utility payments to 79 low-income households Citywide","* Provided rental assistance, security deposits, and utility payments to 79 low-income households Citywide","* Provided rental assistance, security deposits, and utility payments to 79 low-income households Citywide",,
"preventing them from becoming homeless with about $242,400 of HOME funds.","preventing them from becoming homeless with about $242,400 of HOME funds.",,,,
"* Supported development of 31 public housing units at Seaboard Square by expending about $320,000 of CDBG","* Supported development of 31 public housing units at Seaboard Square by expending about $320,000 of CDBG","* Supported development of 31 public housing units at Seaboard Square by expending about $320,000 of CDBG","* Supported development of 31 public housing units at Seaboard Square by expending about $320,000 of CDBG",,
funds for construction of infrastructure.,,,,,
"* 11 signalized intersections received pedestrian crossing signals, new ADA ramps, and striped crosswalks","* 11 signalized intersections received pedestrian crossing signals, new ADA ramps, and striped crosswalks","* 11 signalized intersections received pedestrian crossing signals, new ADA ramps, and striped crosswalks","* 11 signalized intersections received pedestrian crossing signals, new ADA ramps, and striped crosswalks",,
Fiscal Year 2014,12 - 6,,,Community and Economic Development,Community and Economic Development
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,,,
,Willett Hall,,,,
Business Unit Mission Statement,,,,,
To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,,
Description of Services Provided,,,,,
"Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.",
"The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals and","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals and","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals and","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals and","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals and",
"city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires. The","city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires. The","city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires. The","city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires. The","city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires. The",
events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array of,events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array of,events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array of,events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array of,events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array of,
audiences.,,,,,
Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,
Concerts.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Salaries,,"100,037","145,312","145,312","147,901"
Benefits,,"17,499","26,684","26,684","20,303"
Other Operating Expenses,,"97,554","205,016","205,016","130,016"
Internal Service Charges,,"8,949","9,854","9,854","11,458"
,Net Budget,"224,040","386,866","386,866","309,678"
,Total Budget,"224,040","386,866","386,866","309,678"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
435 Willett Hall Fund,,"224,040","386,866","386,866","309,678"
,Total Funding,"224,040","386,866","386,866","309,678"
Strategic Goals,,,,,
* To attract quality entertainment that reaches a broad spectrum of entertainment interests.,* To attract quality entertainment that reaches a broad spectrum of entertainment interests.,* To attract quality entertainment that reaches a broad spectrum of entertainment interests.,,,
* To operate the venue in such a manner that revenues exceed expenditures.,* To operate the venue in such a manner that revenues exceed expenditures.,,,,
* To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,* To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,* To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,* To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,,
Outcomes and Accomplishments,,,,,
* Willett Hall has successfully served as a venue for entertainment in the Hampton Roads community.,* Willett Hall has successfully served as a venue for entertainment in the Hampton Roads community.,* Willett Hall has successfully served as a venue for entertainment in the Hampton Roads community.,,,
* Doubled the number of shows from the previous year.,,,,,
* Hired 19 new part-time ushers.,,,,,
Fiscal Year 2014,12 - 7,,Community and Economic Development,Community and Economic Development,Community and Economic Development
,City of Portsmouth,,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
Community Planning and Development Program,Community Planning and Development Program,Community Planning and Development Program,Community Planning and Development Program,,
Business Unit Mission Statement,,,,,
To provide approved City activities through the provision of funds per the Department of Housing and Urban Development,To provide approved City activities through the provision of funds per the Department of Housing and Urban Development,To provide approved City activities through the provision of funds per the Department of Housing and Urban Development,To provide approved City activities through the provision of funds per the Department of Housing and Urban Development,To provide approved City activities through the provision of funds per the Department of Housing and Urban Development,
(HUD).,,,,,
Description of Services Provided,,,,,
* Community Development Block Grant (CDBG): A federal grant program designed to provide eligible metropolitan cities and,* Community Development Block Grant (CDBG): A federal grant program designed to provide eligible metropolitan cities and,* Community Development Block Grant (CDBG): A federal grant program designed to provide eligible metropolitan cities and,* Community Development Block Grant (CDBG): A federal grant program designed to provide eligible metropolitan cities and,* Community Development Block Grant (CDBG): A federal grant program designed to provide eligible metropolitan cities and,
"urban counties (called ""entitlement communities"") with annual direct grants that can be used to revitalize nighborhoods, expand","urban counties (called ""entitlement communities"") with annual direct grants that can be used to revitalize nighborhoods, expand","urban counties (called ""entitlement communities"") with annual direct grants that can be used to revitalize nighborhoods, expand","urban counties (called ""entitlement communities"") with annual direct grants that can be used to revitalize nighborhoods, expand","urban counties (called ""entitlement communities"") with annual direct grants that can be used to revitalize nighborhoods, expand",
"affordable housing and economic opportunities and/or improve community facilities and services, principally to benefit low and","affordable housing and economic opportunities and/or improve community facilities and services, principally to benefit low and","affordable housing and economic opportunities and/or improve community facilities and services, principally to benefit low and","affordable housing and economic opportunities and/or improve community facilities and services, principally to benefit low and","affordable housing and economic opportunities and/or improve community facilities and services, principally to benefit low and",
moderate income citizens.,,,,,
* HOME Investment Partnership Program (HOME): A federal grant program designed to provide funds to local governments,* HOME Investment Partnership Program (HOME): A federal grant program designed to provide funds to local governments,* HOME Investment Partnership Program (HOME): A federal grant program designed to provide funds to local governments,* HOME Investment Partnership Program (HOME): A federal grant program designed to provide funds to local governments,* HOME Investment Partnership Program (HOME): A federal grant program designed to provide funds to local governments,
"and states for new construction, rehabilitation, acquisition of standard housing, assitance to homebuyers and tenant based rental","and states for new construction, rehabilitation, acquisition of standard housing, assitance to homebuyers and tenant based rental","and states for new construction, rehabilitation, acquisition of standard housing, assitance to homebuyers and tenant based rental","and states for new construction, rehabilitation, acquisition of standard housing, assitance to homebuyers and tenant based rental","and states for new construction, rehabilitation, acquisition of standard housing, assitance to homebuyers and tenant based rental",
assistance.,,,,,
* Emergency Shelter Grants (ESG): A federal grant program designed to help improve the quality of existing homeless,* Emergency Shelter Grants (ESG): A federal grant program designed to help improve the quality of existing homeless,* Emergency Shelter Grants (ESG): A federal grant program designed to help improve the quality of existing homeless,* Emergency Shelter Grants (ESG): A federal grant program designed to help improve the quality of existing homeless,* Emergency Shelter Grants (ESG): A federal grant program designed to help improve the quality of existing homeless,
"emergency shelters, to make available additional shelters to meet the cost of operating shelters, to provide essential social","emergency shelters, to make available additional shelters to meet the cost of operating shelters, to provide essential social","emergency shelters, to make available additional shelters to meet the cost of operating shelters, to provide essential social","emergency shelters, to make available additional shelters to meet the cost of operating shelters, to provide essential social","emergency shelters, to make available additional shelters to meet the cost of operating shelters, to provide essential social",
services to homeless individuals and to help prevent homelessness.,,,,,
,FY 2012,,FY 2013,FY 2013,FY 2014
Expenditure Categories,Actual,,Adopted,Amended,Adopted
Other Operating Expenses,,-,"1,958,877","1,958,877","1,432,498"
,Net Budget,-,"1,958,877","1,958,877","1,432,498"
,Total Budget,-,"1,958,877","1,958,877","1,432,498"
,FY 2012,,FY 2013,FY 2013,FY 2014
Funding Sources,Actual,,Adopted,Amended,Adopted
910 Community Development,,-,"1,958,877","1,958,877","1,432,498"
,Total Funding,-,"1,958,877","1,958,877","1,432,498"
Fiscal Year 2014,12 - 8,,Community and Economic Development,Community and Economic Development,Community and Economic Development
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
New Port Community Development Authority,New Port Community Development Authority,New Port Community Development Authority,New Port Community Development Authority,,
Business Unit Mission Statement,,,,,
The New Port Community Development Authority (CDA) is a nonprofit political subdivision of the Commonwealth of Virginia,The New Port Community Development Authority (CDA) is a nonprofit political subdivision of the Commonwealth of Virginia,The New Port Community Development Authority (CDA) is a nonprofit political subdivision of the Commonwealth of Virginia,The New Port Community Development Authority (CDA) is a nonprofit political subdivision of the Commonwealth of Virginia,The New Port Community Development Authority (CDA) is a nonprofit political subdivision of the Commonwealth of Virginia,
within the boundaries of the City of Portsmouth. The New Port CDA was established by ordinance in 2005 for the purpose of,within the boundaries of the City of Portsmouth. The New Port CDA was established by ordinance in 2005 for the purpose of,within the boundaries of the City of Portsmouth. The New Port CDA was established by ordinance in 2005 for the purpose of,within the boundaries of the City of Portsmouth. The New Port CDA was established by ordinance in 2005 for the purpose of,within the boundaries of the City of Portsmouth. The New Port CDA was established by ordinance in 2005 for the purpose of,
providing public infrastructure improvements through special assessments on taxable properties within the CDA District.,providing public infrastructure improvements through special assessments on taxable properties within the CDA District.,providing public infrastructure improvements through special assessments on taxable properties within the CDA District.,providing public infrastructure improvements through special assessments on taxable properties within the CDA District.,providing public infrastructure improvements through special assessments on taxable properties within the CDA District.,
Financing of construction projects is not debt or other obligation of the City and does not constitute a pledge of faith and credit of,Financing of construction projects is not debt or other obligation of the City and does not constitute a pledge of faith and credit of,Financing of construction projects is not debt or other obligation of the City and does not constitute a pledge of faith and credit of,Financing of construction projects is not debt or other obligation of the City and does not constitute a pledge of faith and credit of,Financing of construction projects is not debt or other obligation of the City and does not constitute a pledge of faith and credit of,
"the City, but is paid from special assessments levied by the CDA.","the City, but is paid from special assessments levied by the CDA.",,,,
Description of Services Provided,,,,,
"Construction of improvements within the Community Development Authority (CDA) District includes sidewalks, fire hydrants,","Construction of improvements within the Community Development Authority (CDA) District includes sidewalks, fire hydrants,","Construction of improvements within the Community Development Authority (CDA) District includes sidewalks, fire hydrants,","Construction of improvements within the Community Development Authority (CDA) District includes sidewalks, fire hydrants,","Construction of improvements within the Community Development Authority (CDA) District includes sidewalks, fire hydrants,",
"street and pedestrian lighting, landscaping, signage, water, and sewer services. These services support residential and","street and pedestrian lighting, landscaping, signage, water, and sewer services. These services support residential and","street and pedestrian lighting, landscaping, signage, water, and sewer services. These services support residential and","street and pedestrian lighting, landscaping, signage, water, and sewer services. These services support residential and","street and pedestrian lighting, landscaping, signage, water, and sewer services. These services support residential and",
"commercial growth to serve the citizens of the City, support a wide range of housing options, promote economic development","commercial growth to serve the citizens of the City, support a wide range of housing options, promote economic development","commercial growth to serve the citizens of the City, support a wide range of housing options, promote economic development","commercial growth to serve the citizens of the City, support a wide range of housing options, promote economic development","commercial growth to serve the citizens of the City, support a wide range of housing options, promote economic development",
"and redevelopment, and generate additional and diverse tax revenues for the City.","and redevelopment, and generate additional and diverse tax revenues for the City.",,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Other Operating Expenses,,"1,242,976","1,022,642","1,022,642","1,019,903"
,Net Budget,"1,242,976","1,022,642","1,022,642","1,019,903"
,Total Budget,"1,242,976","1,022,642","1,022,642","1,019,903"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
630 New Port Community Development Authority,,"1,242,976","1,022,642","1,022,642","1,019,903"
,Total Funding,"1,242,976","1,022,642","1,022,642","1,019,903"
Fiscal Year 2014,12 - 9,,Community and Economic Development,Community and Economic Development,Community and Economic Development
