,Sav,,,,
521301,Contractual-Court Reporter Fee,"1,613",0,"20,100","5,000"
521905,Contractual-Other,"3,566","3,030","3,030","9,000"
522115,Maint-Office Equipment,"1,648","5,500","5,500","1,500"
523999,Rentals-Other,"7,001","11,000","11,000","8,500"
531001,Supp-Postage,"5,932","5,100","5,100","3,500"
531914,Supp-Office and Printing,"20,562","15,000","15,000","20,000"
531999,Supp-Other,"1,018",0,0,0
533010,Noncap-Equipment,0,"7,000","7,000","16,000"
535100,Books and Publications,"12,907","10,000","10,000","15,000"
536110,Dues-Memberships,945,"7,350","7,350","8,250"
542020,Tele-Telephone Cellular,"3,433","3,600","3,600","3,600"
555215,Travel-Witnesses,554,"1,580","1,580","2,000"
555228,Purchase Card,"7,400",0,0,0
610101,Computer Service Charges,"39,374","40,446","40,446","52,095"
610102,Telecommunications Charges,"4,876","25,859","25,859","9,944"
620101,Garage Equip Rental Charges,"4,500","9,626","9,626","9,626"
630101,Risk Management Charges,"29,756","29,900","29,900","30,207"
,100-15-206-2060-000000-000,"2,484,332","2,564,102","2,564,102","2,980,477"
,0307 Commonwealth Attorney,"2,484,332","2,564,102","2,564,102","2,980,477"
0308 Sheriff,0308 Sheriff,,,,
100-15-207-2070-000000-000 Sheriff,100-15-207-2070-000000-000 Sheriff,,,,
501000,Sal-Full-time,"5,715,657","6,357,344","6,357,344","6,543,854"
501100,Sal-Part-time,0,0,0,"4,500"
501200,Accrued Payroll,"42,588",0,0,0
510000,Sal-Overtime,"14,232","117,663","117,663","117,663"
510002,Allow-Clothing,138,"1,200","1,200",0
510006,Allow-Other,"132,303","141,022","141,022","141,022"
510012,Allow-Other Supplements,"302,774","394,480","394,480","405,683"
511100,Bene-FICA,"443,312","421,661","421,661","540,682"
511115,Bene-Health Insurance,"779,075","1,029,321","1,029,321","1,109,840"
511120,Bene-Dental Insurance,"4,872","4,764","4,764","4,740"
511125,Bene-VRS Life Insurance,"16,809","24,565","24,565","84,234"
511140,Bene-Retirement VRS,"758,904","804,360","804,360","585,384"
511145,Bene-Retirement PSRS,0,"8,556","8,556","9,571"
521205,Contractual-Pest Control,"15,864","5,700","5,700","5,700"
521214,Contractual-Trash Remov Other,"6,408","12,878","12,878","13,650"
521707,Contractual-Laundry,"109,591","109,594","109,594","113,978"
521905,Contractual-Other,"1,131,807","1,169,293","1,169,293","1,216,065"
522110,Maint-Equipment,"6,825","6,324","6,324","6,324"
522115,Maint-Office Equipment,"8,753","10,534","10,534","10,534"
522125,Maint-Radio,"32,213","53,128","53,128","53,128"
524110,Repairs-Office Equipment,0,"1,957","1,957","1,957"
531001,Supp-Postage,"9,638","9,639","9,639","9,639"
GovMax V5,,,,18-14,
,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0308 Sheriff,,,,,
100-15-207-2070-000000-000 Sheriff,,,,,
531103,Supp-Weapons and Ammunition,"14,884","22,277","22,277","22,277"
531302,Supp-Inmate Hygiene,"8,410","8,802","8,802","8,802"
531303,Supp-Prison Unif Bed Towels,"14,866","14,923","14,923","14,923"
531501,Supp-Classification and Intake,"11,978","11,978","11,978","11,978"
531701,Supp-Custodial,"28,559","29,216","29,216","29,216"
531907,Supp-Food and Provisions,"637,823","579,194","579,194","602,362"
531910,Supp-Kitchen Equipment,"8,419","9,982","9,982","9,982"
531912,Supp-Library,"1,003","2,015","2,015","2,015"
531914,Supp-Office and Printing,"38,505","40,054","40,054","40,054"
531917,Supp-Uniforms,"65,865","35,616","35,616","35,616"
531999,Supp-Other,"7,483","89,853","89,853","89,853"
536110,Dues-Memberships,"1,387","2,543","2,543","2,543"
542010,Tele-Telephone,"28,935","44,127","44,127","44,127"
555100,Training,"8,776","9,157","9,157","9,157"
555210,Travel,0,"2,105","2,105","2,105"
555228,Purchase Card,"9,482",0,0,0
555420,Indigent Burial,0,"7,000","7,000","7,000"
559050,Parking Fees,"5,460","35,442","35,442","35,442"
610101,Computer Service Charges,"79,582","82,884","82,884","64,608"
610102,Telecommunications Charges,"28,597","42,995","42,995","31,545"
620101,Garage Equip Rental Charges,"701,374","537,165","537,165","537,165"
630101,Risk Management Charges,"403,556","405,512","405,512","414,123"
100-15-207-2070-000000-000 Sheriff,,"11,636,707","12,696,823","12,696,823","12,993,041"
,0308 Sheriff,"11,636,707","12,696,823","12,696,823","12,993,041"
0401 Police Department,,,,,
100-20-300-3000-000000-000 Chief of Police,100-20-300-3000-000000-000 Chief of Police,100-20-300-3000-000000-000 Chief of Police,,,
501000,Sal-Full-time,"13,616,312","15,467,564","15,449,564","15,344,773"
501100,Sal-Part-time,"98,799","105,384","105,384","105,384"
501200,Accrued Payroll,"80,727",0,0,0
510000,Sal-Overtime,"16,565","6,000","6,000","6,000"
510002,Allow-Clothing,"37,226","40,200","40,200","41,400"
510004,Allow-Education,"57,740","53,498","53,498","68,500"
510006,Allow-Other,0,"10,400","10,400",0
510008,Allow-Field Training Officer,"13,769","25,990","25,990","15,000"
510010,Allow-Master Police Officer,"42,782","42,015","42,015","37,500"
510012,Allow-Other Supplements,"15,544","19,800","19,800","18,900"
510013,Sal-Overtime Court,"401,662","450,360","450,360","450,360"
510014,Sal-Overtime City Other Agen,"84,755","150,000","150,000","150,000"
510015,Sal-Overtime Special Events,"82,009","143,874","143,874","143,874"
510016,Sal-Overtime DEA Spec Ass,"20,472","10,609","10,609","10,609"
510017,Sal-Overtime FBI,0,"21,218","21,218","21,218"
510018,Sal-Overtime Harbor Ctr,"54,092","60,000","60,000","60,000"
510019,Sal-Overtime Police Off,"986,317","571,112","571,112","571,112"
510020,Sal-Overtime ATF,"5,343","13,000","13,000","13,000"
510099,Sal-Allow for Salary Savings,0,"-834,032","-834,032","-769,422"
511100,Bene-FICA,"940,811","1,165,331","1,165,331","1,020,779"
511115,Bene-Health Insurance,"1,745,525","2,208,173","2,208,173","2,259,509"
511120,Bene-Dental Insurance,"9,792","9,876","9,876","8,412"
511125,Bene-VRS Life Insurance,"36,849","40,938","40,938","182,211"
511140,Bene-Retirement VRS,"1,285,582","1,498,744","1,498,744","1,051,351"
511145,Bene-Retirement PSRS,"137,637","136,431","136,431","156,045"
511150,Bene-Retirement FPRS,"6,412,640","6,428,381","6,428,381","7,093,960"
GovMax V5,,,,18-15,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0401 Police Department,0401 Police Department,,,,
100-20-300-3000-000000-000 Chief of Police,100-20-300-3000-000000-000 Chief of Police,,,,
511166,Bene-Allowance for Vacancy,0,"-60,337","-60,337","-71,084"
,Sav,,,,
511199,Bene-Adjust,0,"80,341","80,341",0
521601,Contractual-Coroner,"1,280","4,098","4,098","4,098"
521603,Contractual-Medical Expenses,0,"2,170","2,170","2,170"
521905,Contractual-Other,"102,825","153,025","171,025","203,025"
522115,Maint-Office Equipment,"2,215","46,602","46,602","46,602"
523999,Rentals-Other,0,"27,482","27,482","27,482"
524110,Repairs-Office Equipment,0,840,840,840
524999,Repairs-Other,0,"11,968","11,968","11,968"
531103,Supp-Weapons and Ammunition,0,"62,380","62,380","62,380"
531601,Supp-Laboratory,0,"45,900","45,900","45,900"
531914,Supp-Office and Printing,"1,592","52,188","52,188","52,188"
531917,Supp-Uniforms,0,"169,405","169,405","190,405"
531999,Supp-Other,"17,689","66,134","66,134","66,134"
535100,Books and Publications,80,"3,780","3,780","3,780"
536110,Dues-Memberships,"1,555","3,152","3,152","3,152"
542010,Tele-Telephone,"48,472","71,972","71,972","111,704"
542020,Tele-Telephone Cellular,"47,811","49,000","49,000","59,920"
555100,Training,"60,282","128,996","128,996","134,996"
555205,Travel-Mileage,109,"5,673","5,673","5,673"
555210,Travel,"1,493","8,482","8,482","8,482"
555228,Purchase Card,133,0,0,0
559025,Intake-Standup Costs,565,"84,000","84,000","84,000"
610101,Computer Service Charges,"377,081","393,508","393,508","346,687"
610102,Telecommunications Charges,"212,085","154,741","154,741","183,585"
620101,Garage Equip Rental Charges,"2,200,695","2,176,009","2,176,009","2,176,009"
630101,Risk Management Charges,"1,404,022","1,410,826","1,410,826","1,439,077"
100-20-300-3000-000000-000 Chief of,100-20-300-3000-000000-000 Chief of,"30,662,935","32,997,201","32,997,201","33,259,648"
100-20-300-3000-100020-129 Pol-Grants,100-20-300-3000-100020-129 Pol-Grants,,,,
555205,Travel-Mileage,20,0,0,0
555210,Travel,111,0,0,0
,100-20-300-3000-100020-129,131,0,0,0
100-20-300-3000-100020-130 Pol-Crime Analysis,100-20-300-3000-100020-130 Pol-Crime Analysis,,,,
522115,Maint-Office Equipment,"6,084",0,0,0
,100-20-300-3000-100020-130,"6,084",0,0,0
100-20-300-3000-100020-131 Pol-Technical Svcs,100-20-300-3000-100020-131 Pol-Technical Svcs,,,,
522115,Maint-Office Equipment,"10,838",0,0,0
524999,Repairs-Other,"1,722",0,0,0
531914,Supp-Office and Printing,"1,040",0,0,0
531999,Supp-Other,"5,599",0,0,0
,100-20-300-3000-100020-131,"19,199",0,0,0
100-20-300-3000-100035-000 Chief of Police,100-20-300-3000-100035-000 Chief of Police,,,,
559025,Intake-Standup Costs,"19,426",0,0,0
100-20-300-3000-100035-000 Chief of,100-20-300-3000-100035-000 Chief of,"19,426",0,0,0
100-20-300-3000-100035-100 Pol-Public Affairs,100-20-300-3000-100035-100 Pol-Public Affairs,,,,
555210,Travel,684,0,0,0
,100-20-300-3000-100035-100,684,0,0,0
100-20-300-3000-100035-101 Pol-Office Mgr,100-20-300-3000-100035-101 Pol-Office Mgr,,,,
521905,Contractual-Other,"1,615",0,0,0
524999,Repairs-Other,150,0,0,0
531914,Supp-Office and Printing,"2,273",0,0,0
531999,Supp-Other,975,0,0,0
GovMax V5,,,,18-16,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0401 Police Department,0401 Police Department,,,,
100-20-300-3000-100035-101 Pol-Office Mgr,100-20-300-3000-100035-101 Pol-Office Mgr,,,,
536110,Dues-Memberships,220,0,0,0
555100,Training,"5,669",0,0,0
555205,Travel-Mileage,21,0,0,0
555210,Travel,55,0,0,0
,100-20-300-3000-100035-101,"10,978",0,0,0
100-20-300-3000-100035-102 Pol-Professional Stds,100-20-300-3000-100035-102 Pol-Professional Stds,100-20-300-3000-100035-102 Pol-Professional Stds,,,
521905,Contractual-Other,214,0,0,0
531914,Supp-Office and Printing,"1,822",0,0,0
531917,Supp-Uniforms,418,0,0,0
531999,Supp-Other,853,0,0,0
555100,Training,"3,535",0,0,0
555210,Travel,49,0,0,0
,100-20-300-3000-100035-102,"6,891",0,0,0
100-20-300-3001-000000-000 Operations Spt Bureau,100-20-300-3001-000000-000 Operations Spt Bureau,100-20-300-3001-000000-000 Operations Spt Bureau,,,
510000,Sal-Overtime,"17,461",0,0,0
511100,Bene-FICA,"22,554",0,0,0
511115,Bene-Health Insurance,"58,106",0,0,0
511120,Bene-Dental Insurance,346,0,0,0
511125,Bene-VRS Life Insurance,780,0,0,0
511140,Bene-Retirement VRS,"27,403",0,0,0
531999,Supp-Other,320,0,0,0
535100,Books and Publications,129,0,0,0
536110,Dues-Memberships,120,0,0,0
,100-20-300-3001-000000-000,"127,220",0,0,0
100-20-300-3001-100000-103 Pol-Special Ops Unit,100-20-300-3001-100000-103 Pol-Special Ops Unit,100-20-300-3001-100000-103 Pol-Special Ops Unit,,,
521905,Contractual-Other,"4,011",0,0,0
524999,Repairs-Other,"1,610",0,0,0
531914,Supp-Office and Printing,"1,176",0,0,0
531917,Supp-Uniforms,"21,090",0,0,0
531999,Supp-Other,"6,108",0,0,0
555210,Travel,456,0,0,0
,100-20-300-3001-100000-103,"34,451",0,0,0
100-20-300-3001-100000-104 Pol-Tactical Response,100-20-300-3001-100000-104 Pol-Tactical Response,100-20-300-3001-100000-104 Pol-Tactical Response,,,
522115,Maint-Office Equipment,"1,500",0,0,0
531914,Supp-Office and Printing,233,0,0,0
531917,Supp-Uniforms,"24,995",0,0,0
531999,Supp-Other,430,0,0,0
555100,Training,"3,555",0,0,0
555210,Travel,483,0,0,0
,100-20-300-3001-100000-104,"31,196",0,0,0
100-20-300-3001-100000-105 Pol-K-9/Mounted Patrol,100-20-300-3001-100000-105 Pol-K-9/Mounted Patrol,100-20-300-3001-100000-105 Pol-K-9/Mounted Patrol,,,
530102,K9 Supp/Maint,"13,250","11,900","11,900","13,900"
530103,Mounted Patrol Supp/Maint,115,"21,565","21,565","19,565"
,100-20-300-3001-100000-105,"13,365","33,465","33,465","33,465"
100-20-300-3001-100000-106 Pol-Special Events & Emer Pre,100-20-300-3001-100000-106 Pol-Special Events & Emer Pre,100-20-300-3001-100000-106 Pol-Special Events & Emer Pre,,,
531914,Supp-Office and Printing,317,0,0,0
,100-20-300-3001-100000-106,317,0,0,0
100-20-300-3001-100000-107 Pol-Selective Traffic Enforc,100-20-300-3001-100000-107 Pol-Selective Traffic Enforc,100-20-300-3001-100000-107 Pol-Selective Traffic Enforc,,,
531914,Supp-Office and Printing,89,0,0,0
531917,Supp-Uniforms,595,0,0,0
535100,Books and Publications,76,0,0,0
555210,Travel,51,0,0,0
GovMax V5,,,,18-17,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0401 Police Department,0401 Police Department,,,,
,100-20-300-3001-100000-107,811,0,0,0
100-20-300-3001-100000-110 Pol-Special Investigations,100-20-300-3001-100000-110 Pol-Special Investigations,100-20-300-3001-100000-110 Pol-Special Investigations,,,
521905,Contractual-Other,"1,313",0,0,0
530100,Confidential Funds,"19,789","29,237","29,237","29,237"
531914,Supp-Office and Printing,"1,168",0,0,0
531999,Supp-Other,519,0,0,0
535100,Books and Publications,34,0,0,0
536110,Dues-Memberships,300,0,0,0
555100,Training,"4,354",0,0,0
555210,Travel,50,0,0,0
,100-20-300-3001-100000-110,"27,527","29,237","29,237","29,237"
100-20-300-3001-100000-138 Pol-Mounted Patrol,100-20-300-3001-100000-138 Pol-Mounted Patrol,100-20-300-3001-100000-138 Pol-Mounted Patrol,,,
530103,Mounted Patrol Supp/Maint,"12,847",0,0,0
,100-20-300-3001-100000-138,"12,847",0,0,0
100-20-300-3001-100005-112 Pol-Criminal Investigations,100-20-300-3001-100005-112 Pol-Criminal Investigations,100-20-300-3001-100005-112 Pol-Criminal Investigations,,,
521603,Contractual-Medical Expenses,110,0,0,0
521905,Contractual-Other,"2,773",0,0,0
524999,Repairs-Other,170,0,0,0
531601,Supp-Laboratory,32,0,0,0
531914,Supp-Office and Printing,"4,376",0,0,0
531999,Supp-Other,372,0,0,0
536110,Dues-Memberships,390,0,0,0
555100,Training,"11,265",0,0,0
555205,Travel-Mileage,142,0,0,0
555210,Travel,"7,544",0,0,0
,100-20-300-3001-100005-112,"27,174",0,0,0
100-20-300-3001-100005-113 Pol-Forensics,100-20-300-3001-100005-113 Pol-Forensics,,,,
521905,Contractual-Other,806,0,0,0
522115,Maint-Office Equipment,"7,883",0,0,0
523999,Rentals-Other,"1,275",0,0,0
524999,Repairs-Other,550,0,0,0
531601,Supp-Laboratory,"23,367",0,0,0
531914,Supp-Office and Printing,"1,948",0,0,0
,100-20-300-3001-100005-113,"35,828",0,0,0
100-20-300-3001-100005-116 Pol-School Resource Officers,100-20-300-3001-100005-116 Pol-School Resource Officers,100-20-300-3001-100005-116 Pol-School Resource Officers,,,
555100,Training,100,0,0,0
,100-20-300-3001-100005-116,100,0,0,0
100-20-300-3002-000000-000 Admin & Support Bureau,100-20-300-3002-000000-000 Admin & Support Bureau,100-20-300-3002-000000-000 Admin & Support Bureau,,,
531999,Supp-Other,157,0,0,0
100-20-300-3002-000000-000 Admin &,100-20-300-3002-000000-000 Admin &,157,0,0,0
100-20-300-3002-100010-119 Pol-Fiscal Affairs,100-20-300-3002-100010-119 Pol-Fiscal Affairs,,,,
521905,Contractual-Other,"1,989",0,0,0
522115,Maint-Office Equipment,"1,513",0,0,0
523999,Rentals-Other,"42,193",0,0,0
531914,Supp-Office and Printing,"3,224",0,0,0
531999,Supp-Other,994,0,0,0
536110,Dues-Memberships,225,0,0,0
555210,Travel,81,0,0,0
,100-20-300-3002-100010-119,"50,218",0,0,0
100-20-300-3002-100010-120 Pol-Personnel,100-20-300-3002-100010-120 Pol-Personnel,,,,
531914,Supp-Office and Printing,476,0,0,0
531999,Supp-Other,45,0,0,0
,100-20-300-3002-100010-120,521,0,0,0
GovMax V5,,,,18-18,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0401 Police Department,0401 Police Department,,,,
100-20-300-3002-100010-121 Pol-Backgrounds,100-20-300-3002-100010-121 Pol-Backgrounds,,,,
521905,Contractual-Other,"2,037",0,0,0
523999,Rentals-Other,237,0,0,0
531914,Supp-Office and Printing,20,0,0,0
531999,Supp-Other,224,0,0,0
555210,Travel,72,0,0,0
,100-20-300-3002-100010-121,"2,590",0,0,0
100-20-300-3002-100010-122 Pol-Recruiting,100-20-300-3002-100010-122 Pol-Recruiting,,,,
531914,Supp-Office and Printing,821,0,0,0
531999,Supp-Other,"1,105",0,0,0
555210,Travel,"2,432",0,0,0
,100-20-300-3002-100010-122,"4,358",0,0,0
100-20-300-3002-100015-123 Pol-Vehicle Support,100-20-300-3002-100015-123 Pol-Vehicle Support,100-20-300-3002-100015-123 Pol-Vehicle Support,,,
524999,Repairs-Other,"4,674",0,0,0
531914,Supp-Office and Printing,222,0,0,0
531999,Supp-Other,495,0,0,0
,100-20-300-3002-100015-123,"5,391",0,0,0
100-20-300-3002-100015-124 Pol-Records,100-20-300-3002-100015-124 Pol-Records,,,,
521905,Contractual-Other,"1,352",0,0,0
522115,Maint-Office Equipment,468,0,0,0
531914,Supp-Office and Printing,"2,761",0,0,0
531999,Supp-Other,41,0,0,0
555100,Training,598,0,0,0
,100-20-300-3002-100015-124,"5,220",0,0,0
100-20-300-3002-100015-125 Pol-Property & Evidence,100-20-300-3002-100015-125 Pol-Property & Evidence,100-20-300-3002-100015-125 Pol-Property & Evidence,,,
521905,Contractual-Other,456,0,0,0
531914,Supp-Office and Printing,"25,051",0,0,0
531917,Supp-Uniforms,"95,246",0,0,0
531999,Supp-Other,"16,203",0,0,0
535100,Books and Publications,128,0,0,0
536110,Dues-Memberships,50,0,0,0
542020,Tele-Telephone Cellular,"11,374",0,0,0
555100,Training,150,0,0,0
,100-20-300-3002-100015-125,"148,658",0,0,0
100-20-300-3002-100015-127 Pol-Court Liasison,100-20-300-3002-100015-127 Pol-Court Liasison,,,,
531914,Supp-Office and Printing,205,0,0,0
555100,Training,325,0,0,0
100-20-300-3002-100015-127 Pol-Court,100-20-300-3002-100015-127 Pol-Court,530,0,0,0
100-20-300-3002-100040-118 Pol-Training Unit,100-20-300-3002-100040-118 Pol-Training Unit,,,,
521905,Contractual-Other,"40,211",0,0,0
524999,Repairs-Other,12,0,0,0
531103,Supp-Weapons and Ammunition,"107,780",0,0,0
531914,Supp-Office and Printing,"1,411",0,0,0
531999,Supp-Other,"2,926",0,0,0
535100,Books and Publications,50,0,0,0
555100,Training,"18,722",0,0,0
,100-20-300-3002-100040-118,"171,112",0,0,0
100-20-300-3003-100025-133 Pol-Community Svcs,100-20-300-3003-100025-133 Pol-Community Svcs,100-20-300-3003-100025-133 Pol-Community Svcs,,,
521905,Contractual-Other,310,0,0,0
531914,Supp-Office and Printing,209,0,0,0
531999,Supp-Other,32,0,0,0
555100,Training,"2,130",0,0,0
,100-20-300-3003-100025-133,"2,680",0,0,0
GovMax V5,,,,18-19,
,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0401 Police Department,,,,,
100-20-300-3003-100025-134 Pol-Crime Prevention,100-20-300-3003-100025-134 Pol-Crime Prevention,100-20-300-3003-100025-134 Pol-Crime Prevention,,,
530101,Crime Prevention Supplies,"7,015","15,210","15,210","15,210"
,100-20-300-3003-100025-134,"7,015","15,210","15,210","15,210"
100-20-300-3003-100030-136 Pol-Uniform Patrol,100-20-300-3003-100030-136 Pol-Uniform Patrol,,,,
521905,Contractual-Other,500,0,0,0
531914,Supp-Office and Printing,"1,204",0,0,0
531999,Supp-Other,"1,864",0,0,0
536110,Dues-Memberships,385,0,0,0
555100,Training,"6,533",0,0,0
555210,Travel,84,0,0,0
,100-20-300-3003-100030-136,"10,570",0,0,0
100-20-300-3003-100030-137 Pol-Auxiliary,100-20-300-3003-100030-137 Pol-Auxiliary,,,,
555100,Training,415,0,0,0
,100-20-300-3003-100030-137,415,0,0,0
100-20-300-3005-100000-108 Pol-Animal Control,100-20-300-3005-100000-108 Pol-Animal Control,,,,
501000,Sal-Full-time,"285,684","371,703","371,703","359,291"
501100,Sal-Part-time,"17,184",0,0,0
510000,Sal-Overtime,0,"16,210","16,210","16,210"
510099,Sal-Allow for Salary Savings,0,"-18,584","-18,584","-17,964"
511100,Bene-FICA,0,"28,432","28,432","27,485"
511115,Bene-Health Insurance,0,"96,827","96,827","84,755"
511120,Bene-Dental Insurance,0,408,408,280
511125,Bene-VRS Life Insurance,0,"1,041","1,041","4,277"
511140,Bene-Retirement VRS,0,"38,922","38,922","27,012"
511145,Bene-Retirement PSRS,"10,188","10,931","10,931","13,202"
511166,Bene-Allowance for Vacancy,0,"-1,474","-1,474","-1,588"
,Sav,,,,
521102,Contractual-Humane Society,"297,917","325,000","325,000","325,000"
531914,Supp-Office and Printing,964,"1,848","1,848","1,848"
531917,Supp-Uniforms,0,"6,859","6,859","6,859"
531999,Supp-Other,"2,922","6,998","6,998","6,998"
555100,Training,600,"1,050","1,050","5,345"
,100-20-300-3005-100000-108,"615,459","886,171","886,171","859,010"
,0401 Police Department,"32,062,060","33,961,284","33,961,284","34,196,570"
0402 E-911,,,,,
100-20-300-3004-000000-000 E-911 Communications,100-20-300-3004-000000-000 E-911 Communications,100-20-300-3004-000000-000 E-911 Communications,,,
501000,Sal-Full-time,"932,776","1,016,117","931,117","953,871"
501100,Sal-Part-time,"18,705","33,672","33,672","33,672"
501200,Accrued Payroll,"17,738",0,0,0
510000,Sal-Overtime,"35,741","101,411","186,411","101,411"
510099,Sal-Allow for Salary Savings,0,"-48,845","-48,845","-47,692"
511100,Bene-FICA,"70,676","74,732","74,732","72,975"
511115,Bene-Health Insurance,"152,565","205,065","205,065","204,687"
511120,Bene-Dental Insurance,994,"1,140","1,140",740
511125,Bene-VRS Life Insurance,"2,542","2,734","2,734","11,359"
511140,Bene-Retirement VRS,"105,516","116,205","116,205","78,883"
511145,Bene-Retirement PSRS,"66,917","59,548","59,548","66,418"
511166,Bene-Allowance for Vacancy,0,"-3,884","-3,884","-4,215"
,Sav,,,,
521917,Contractual-Wireless E-911,0,"5,254","5,254","5,254"
522115,Maint-Office Equipment,0,36,36,36
523999,Rentals-Other,"3,401","3,624","3,624","3,624"
524999,Repairs-Other,0,"2,339","2,339","2,339"
531914,Supp-Office and Printing,"1,672","3,872","3,872","3,872"
GovMax V5,,,,18-20,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0402 E-911,0402 E-911,,,,
100-20-300-3004-000000-000 E-911 Communications,100-20-300-3004-000000-000 E-911 Communications,100-20-300-3004-000000-000 E-911 Communications,,,
531917,Supp-Uniforms,"1,607","4,556","4,556","4,556"
531999,Supp-Other,"1,662","3,050","3,050","3,050"
535100,Books and Publications,0,"3,276","3,276","3,276"
536110,Dues-Memberships,0,251,251,251
555100,Training,"1,222","5,508","5,508","5,508"
610101,Computer Service Charges,"137,311","145,917","145,917","148,170"
610102,Telecommunications Charges,"321,315","337,138","337,138","328,679"
630101,Risk Management Charges,"27,340","27,473","27,473","27,765"
,100-20-300-3004-000000-000 E-911,"1,899,699","2,100,189","2,100,189","2,008,489"
,0402 E-911,"1,899,699","2,100,189","2,100,189","2,008,489"
"0404 Fire, Rescue And Emergency","0404 Fire, Rescue And Emergency",,,,
100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,100-20-301-3020-000000-000 Fire Rescue and Emergency Svcs,,
501000,Sal-Full-time,"12,332,255","13,400,966","13,132,966","13,171,012"
501100,Sal-Part-time,"305,371","205,500","373,500","205,500"
501200,Accrued Payroll,"73,353",0,0,0
510000,Sal-Overtime,"1,426,912","479,778","579,778","559,778"
510002,Allow-Clothing,"4,962","4,200","4,200","3,000"
510004,Allow-Education,"47,633","52,003","52,003","56,500"
510009,Allow-Master Firefighter,"31,960","76,498","76,498","22,500"
510011,Allow-Paramedic,"11,446","11,201","11,201","12,800"
510012,Allow-Other Supplements,"17,563","45,300","45,300","44,100"
510014,Sal-Overtime City Other Agen,"11,455",0,0,0
510018,Sal-Overtime Harbor Ctr,"6,215",0,0,0
510021,Sal-Overtime Hazmat,"1,621",0,0,0
510022,Sal-Overtime EMS,"129,054",0,0,0
510023,Sal-Overtime Willett Hall,"7,657",0,0,0
510024,Sal-Overtime Fire Marshall,"22,065",0,0,0
510025,Sal-Overtime Training,"4,306",0,0,0
510026,Allow-Haz Mat Supplement,"24,165",0,0,0
510027,Allow-SCBA Supplement,"3,150",0,0,0
510099,Sal-Allow for Salary Savings,0,"-733,752","-733,752","-663,679"
511100,Bene-FICA,"692,305","745,787","745,787","735,723"
511115,Bene-Health Insurance,"1,424,556","1,924,879","1,924,879","1,723,251"
511120,Bene-Dental Insurance,"7,439","7,188","7,188","6,656"
511125,Bene-VRS Life Insurance,"33,688","36,194","36,194","155,470"
511140,Bene-Retirement VRS,"887,568","1,054,644","1,054,644","724,036"
511145,Bene-Retirement PSRS,"55,672","45,577","45,577","52,235"
