Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”
,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,new regional central intake system process was implemented.,"This year, welcomed sponsorships from the","This year, welcomed sponsorships from the","This year, welcomed sponsorships from the","This year, welcomed sponsorships from the","This year, welcomed sponsorships from the","This year, welcomed sponsorships from the","This year, welcomed sponsorships from the","This year, welcomed sponsorships from the"
,"Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital","Hampton Roads Community Foundation and the Dalis Foundation with three first-time partners: KPMG, Capital"
,"One, and Panera Bread.","One, and Panera Bread.","One, and Panera Bread.","One, and Panera Bread.",,,,,,,,,,,,,,,
•,"Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,","Opened Heron's Landing, the region's fourth installment of permanent supportive housing apartment complex,"
,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,in Chesapeake in January 2013. Norfolk will house six formerly homeless citizens in Heron's Landing.,,
•,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing,Partnered with Virginia Supportive Housing to start planning the development of a mixed use workforce housing
,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of,apartment community that will house formerly homeless citizens; this is a new model for the development of
,housing to end homelessness.,housing to end homelessness.,housing to end homelessness.,housing to end homelessness.,housing to end homelessness.,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia,The Office to End Homelessness has also agreed to partner with Virginia
,Supportive,Housing,Housing,and,the,City,of,Virginia,Beach,for,the,development,development,of,the,fifth,regional,permanent,permanent
,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,supportive housing apartment complex in 2014.,,,,,,,,,,,
88,Prior Year Accomplishments,Prior Year Accomplishments,Prior Year Accomplishments,Prior Year Accomplishments,,,,,,,,,,,,,,,
